row_number,subdistrict_id,subdistrict_name_en,subdistrict_name_th,district_id,district_name_en,district_name_th,province_id,province_name_en,province_name_th,eating_daytime,eating_daytime_price,eating_daytime_quality,eating_daytime_variety,eating_nighttime,eating_nighttime_price,eating_nighttime_quality,eating_nighttime_variety,source
191,3935,PAK KHLONG PHASI CHAROEN,ปากคลองภาษีเจริญ,3928,PHASI CHAROEN,ภาษีเจริญ,3781,Bangkok,กรุงเทพมหานคร,65.0,79.0,48.0,79.0,68.0,81.0,44.0,76.0,baania
85,3864,ANUSAWARI,อนุสาวรีย์,3862,BANG KHEN,บางเขน,3781,Bangkok,กรุงเทพมหานคร,62.0,85.0,40.0,69.0,61.0,81.0,35.0,67.0,baania
160,4660,NONG BON DAENG,หนองบอนแดง,4654,BAN BUENG,บ้านบึง,4616,Chon Buri,ชลบุรี,38.0,42.0,39.0,29.0,32.0,18.0,37.0,36.0,baania
34,3551,NAI KHLONG BANG PLA KOT,ในคลองบางปลากด,3549,PHRA SAMUT CHEDI,พระสมุทรเจดีย์,3498,Samut Prakan,สมุทรปราการ,52.0,72.0,32.0,59.0,50.0,64.0,29.0,57.0,baania
554,1169,MAE PU KHA,แม่ปูคา,1164,SAN KAMPHAENG,สันกำแพง,1005,Chiang Mai,เชียงใหม่,42.0,51.0,32.0,47.0,40.0,33.0,48.0,39.0,baania
442,3778,RAI KHING,ไร่ขิง,3764,SAM PHRAN,สามพราน,3667,Nakhon Pathom,นครปฐม,57.0,63.0,47.0,70.0,63.0,63.0,41.0,78.0,baania
270,3818,DUSIT,ดุสิต,3817,DUSIT,ดุสิต,3781,Bangkok,กรุงเทพมหานคร,70.0,84.0,57.0,77.0,73.0,72.0,61.0,80.0,baania
216,3381,BANG RAK NOI,บางรักน้อย,3373,MUEANG NONTHABURI,เมืองนนทบุรี,3372,Nonthaburi,นนทบุรี,68.0,76.0,59.0,74.0,65.0,68.0,62.0,66.0,baania
407,3424,BANG TALAT,บางตลาด,3418,PAK KRET,ปากเกร็ด,3372,Nonthaburi,นนทบุรี,73.0,74.0,67.0,88.0,76.0,76.0,61.0,86.0,baania
39,3399,MAHASAWAT,มหาสวัสดิ์,3392,BANG KRUAI,บางกรวย,3372,Nonthaburi,นนทบุรี,52.0,80.0,18.0,80.0,55.0,74.0,6.0,77.0,baania
524,20622,BANG NA NUEA,บางนาเหนือ,3877,BANG NA,บางนา,3781,Bangkok,กรุงเทพมหานคร,68.0,81.0,52.0,80.0,72.0,77.0,51.0,83.0,baania
62,2633,PA KHLOK,ป่าคลอก,2630,THALANG,ถลาง,2616,Phuket,ภูเก็ต,42.0,51.0,40.0,33.0,37.0,44.0,29.0,37.0,baania
193,1218,SOP MAE KHA,สบแม่ข่า,1213,HANG DONG,หางดง,1005,Chiang Mai,เชียงใหม่,44.0,31.0,44.0,67.0,46.0,19.0,50.0,59.0,baania
49,3621,KHLONG HOK,คลองหก,3615,KHLONG LUANG,คลองหลวง,3599,Pathum Thani,ปทุมธานี,38.0,50.0,25.0,49.0,46.0,50.0,24.0,58.0,baania
375,1207,PA BONG,ป่าบง,1200,SARAPHI,สารภี,1005,Chiang Mai,เชียงใหม่,42.0,21.0,54.0,55.0,52.0,11.0,65.0,65.0,baania
448,3841,TALAT PHLU,ตลาดพลู,3839,THON BURI,ธนบุรี,3781,Bangkok,กรุงเทพมหานคร,66.0,81.0,50.0,77.0,68.0,79.0,49.0,74.0,baania
5,3854,WAT THA PHRA,วัดท่าพระ,3853,BANGKOK YAI,บางกอกใหญ่,3781,Bangkok,กรุงเทพมหานคร,63.0,84.0,48.0,64.0,62.0,81.0,43.0,65.0,baania
537,4632,NONG RI,หนองรี,4617,MUEANG CHON BURI,เมืองชลบุรี,4616,Chon Buri,ชลบุรี,28.0,37.0,24.0,23.0,21.0,13.0,21.0,26.0,baania
112,3980,YAN NAWA,ยานนาวา,3977,SATHON,สาทร,3781,Bangkok,กรุงเทพมหานคร,70.0,68.0,60.0,96.0,79.0,62.0,64.0,99.0,baania
299,4649,NA KLUEA,นาเกลือ,4645,BANG LAMUNG,บางละมุง,4616,Chon Buri,ชลบุรี,62.0,49.0,58.0,96.0,68.0,29.0,57.0,96.0,baania
446,3944,THANON PHET BURI,ถนนเพชรบุรี,3942,RATCHATHEWI,ราชเทวี,3781,Bangkok,กรุงเทพมหานคร,70.0,58.0,67.0,96.0,78.0,56.0,70.0,96.0,baania
358,3721,KHUN KAEO,ขุนแก้ว,3719,NAKHON CHAI SI,นครชัยศรี,3667,Nakhon Pathom,นครปฐม,60.0,61.0,55.0,68.0,65.0,65.0,61.0,67.0,baania
393,1220,NONG KAEO,หนองแก๋ว,1213,HANG DONG,หางดง,1005,Chiang Mai,เชียงใหม่,47.0,52.0,42.0,49.0,51.0,49.0,49.0,54.0,baania
548,3478,BANG BUT,บางบุตร,3474,BAN KHAI,บ้านค่าย,3431,Rayong,ระยอง,47.0,38.0,61.0,34.0,40.0,47.0,53.0,28.0,baania
295,3975,CHAKKRAWAT,จักรวรรดิ,3973,SAMPHANTHAWONG,สัมพันธวงศ์,3781,Bangkok,กรุงเทพมหานคร,61.0,73.0,53.0,60.0,61.0,68.0,54.0,62.0,baania
531,1182,SAN NA MENG,สันนาเม็ง,1175,SAN SAI,สันทราย,1005,Chiang Mai,เชียงใหม่,43.0,40.0,47.0,40.0,61.0,49.0,65.0,64.0,baania
373,3634,KHU BANG LUANG,คูบางหลวง,3630,LAT LUM KAEO,ลาดหลุมแก้ว,3599,Pathum Thani,ปทุมธานี,39.0,42.0,34.0,45.0,42.0,31.0,34.0,55.0,baania
199,3540,BANG CHAK,บางจาก,3533,PHRA PRADAENG,พระประแดง,3498,Samut Prakan,สมุทรปราการ,49.0,72.0,27.0,60.0,48.0,62.0,20.0,59.0,baania
421,3870,BANG KHAE,บางแค,3869,BANG KHAE,บางแค,3781,Bangkok,กรุงเทพมหานคร,61.0,82.0,47.0,58.0,60.0,81.0,44.0,60.0,baania
133,3639,LAM LUK KA,ลำลูกกา,3638,LAM LUK KA,ลำลูกกา,3599,Pathum Thani,ปทุมธานี,41.0,53.0,26.0,53.0,46.0,48.0,14.0,66.0,baania
271,3891,SURIYAWONG,สุริยวงศ์,3886,BANG RAK,บางรัก,3781,Bangkok,กรุงเทพมหานคร,70.0,63.0,64.0,99.0,80.0,58.0,68.0,100.0,baania
412,3397,BANG SI THONG,บางสีทอง,3392,BANG KRUAI,บางกรวย,3372,Nonthaburi,นนทบุรี,58.0,83.0,30.0,75.0,61.0,77.0,11.0,84.0,baania
263,3990,KRATHUM RAI,กระทุ่มราย,3988,NONG CHOK,หนองจอก,3781,Bangkok,กรุงเทพมหานคร,50.0,87.0,25.0,45.0,47.0,86.0,11.0,49.0,baania
301,3425,BANG TANAI,บางตะไนย์,3418,PAK KRET,ปากเกร็ด,3372,Nonthaburi,นนทบุรี,63.0,55.0,66.0,69.0,70.0,57.0,67.0,79.0,baania
