row_number,transction_year,transction_month,province_name_th,province_name_en,district_name_th,district_name_en,propertytype_name_th,propertytype_name_en,volume_of_project,interest
1417,2019,7,กรุงเทพมหานคร,Bangkok,มีนบุรี,MIN BURI,บ้าน,Detached House,189,1524
2492,2020,3,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,ทาวน์โฮม,Townhome,269,2220
1763,2019,5,นนทบุรี,Nonthaburi,บางใหญ่,BANG YAI,บ้าน,Detached House,125,502
2066,2018,1,ปทุมธานี,Pathum Thani,ธัญบุรี,THANYABURI,อาคารพาณิชย์,Commercial,45,274
2041,2017,11,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,บ้าน,Detached House,304,2114
1790,2020,6,สมุทรปราการ,Samut Prakan,บางบ่อ,BANG BO,ทาวน์โฮม,Townhome,38,201
2870,2017,8,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,อาคารพาณิชย์,Commercial,216,2661
1504,2020,1,กรุงเทพมหานคร,Bangkok,บึงกุ่ม,BUENG KUM,คอนโด,Condo,52,663
659,2017,12,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,บ้าน,Detached House,1228,9661
689,2017,11,กรุงเทพมหานคร,Bangkok,คลองสามวา,KHLONG SAM WA,ทาวน์โฮม,Townhome,281,3051
1710,2017,7,กรุงเทพมหานคร,Bangkok,คลองสามวา,KHLONG SAM WA,บ้าน,Detached House,2603,35913
2010,2017,11,กรุงเทพมหานคร,Bangkok,คลองสามวา,KHLONG SAM WA,บ้านแฝด,Twin house,108,1245
112,2016,10,นนทบุรี,Nonthaburi,เมืองนนทบุรี,MUEANG NONTHABURI,ทาวน์โฮม,Townhome,365,4153
628,2019,3,กรุงเทพมหานคร,Bangkok,ปทุมวัน,PATHUM WAN,คอนโด,Condo,65,151
1661,2017,12,สมุทรปราการ,Samut Prakan,พระประแดง,PHRA PRADAENG,ทาวน์โฮม,Townhome,200,1616
60,2020,3,กรุงเทพมหานคร,Bangkok,บางแค,BANG KHAE,บ้านแฝด,Twin house,104,1504
2080,2018,6,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,บ้าน,Detached House,666,3703
975,2021,5,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,ทาวน์โฮม,Townhome,22,97
1093,2018,11,กรุงเทพมหานคร,Bangkok,จตุจักร,CHATUCHAK,คอนโด,Condo,397,999
2953,2020,11,กรุงเทพมหานคร,Bangkok,ลาดพร้าว,LAT PHRAO,ทาวน์โฮม,Townhome,8,25
1537,2019,12,กรุงเทพมหานคร,Bangkok,มีนบุรี,MIN BURI,บ้าน,Detached House,159,3246
2277,2019,6,กรุงเทพมหานคร,Bangkok,พระโขนง,PHRA KHANONG,ทาวน์โฮม,Townhome,103,647
1791,2017,1,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,TALING CHAN,บ้าน,Detached House,213,1743
74,2021,3,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,คอนโด,Condo,17,69
2297,2021,12,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,ทาวน์โฮม,Townhome,9,89
572,2020,5,กรุงเทพมหานคร,Bangkok,ทุ่งครุ,THUNG KHRU,บ้าน,Detached House,29,84
993,2017,5,กรุงเทพมหานคร,Bangkok,บางนา,BANG NA,โฮมออฟฟิศ,Home office,73,666
397,2018,11,กรุงเทพมหานคร,Bangkok,พระโขนง,PHRA KHANONG,คอนโด,Condo,124,299
648,2017,7,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,BANGKOK NOI,ทาวน์โฮม,Townhome,107,1258
