row_number,subdistrict_id,subdistrict_name_en,subdistrict_name_th,district_id,district_name_en,district_name_th,province_id,province_name_en,province_name_th,walk_leisure,walk_public_service,walk_school,walk_shopping,walk_work,walk_total,access_boat,access_bus,access_train,access_total,drive_leisure,drive_public_service,drive_school,drive_shopping,drive_work,drive_total,source
204,4622,BANG PLA SOI,บางปลาสร้อย,4617,MUEANG CHON BURI,เมืองชลบุรี,4616,Chon Buri,ชลบุรี,32.0,55.0,60.0,75.0,77.0,62.0,0.0,0.0,0.0,0.0,96.0,100.0,100.0,100.0,100.0,99.0,baania
138,2861,CHO HO,จอหอ,2858,MUEANG NAKHON RATCHASIMA,เมืองนครราชสีมา,2857,Nakhon Ratchasima,นครราชสีมา,12.0,18.0,14.0,36.0,24.0,26.0,0.0,0.0,0.0,0.0,80.0,85.0,81.0,95.0,87.0,89.0,baania
553,3783,KHLONG TOEI,คลองเตย,3782,KHLONG TOEI,คลองเตย,3781,Bangkok,กรุงเทพมหานคร,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,99.0,100.0,75.0,100.0,100.0,99.0,97.0,baania
99,3604,BANG DUEA,บางเดื่อ,3600,MUEANG PATHUM THANI,เมืองปทุมธานี,3599,Pathum Thani,ปทุมธานี,63.0,37.0,68.0,98.0,84.0,81.0,0.0,93.0,0.0,37.0,100.0,96.0,95.0,97.0,87.0,96.0,baania
621,2502,SAN SAI,สันทราย,2412,MUEANG CHIANG RAI,เมืองเชียงราย,2411,Chiang Rai,เชียงราย,5.0,14.0,18.0,34.0,23.0,24.0,0.0,0.0,0.0,0.0,56.0,80.0,90.0,88.0,84.0,81.0,baania
304,4630,NONG KHANG KHOK,หนองข้างคอก,4617,MUEANG CHON BURI,เมืองชลบุรี,4616,Chon Buri,ชลบุรี,15.0,19.0,7.0,13.0,23.0,15.0,0.0,0.0,0.0,0.0,79.0,82.0,65.0,60.0,83.0,70.0,baania
399,4565,HOM SIN,หอมศีล,4552,BANG PAKONG,บางปะกง,4510,Chachoengsao,ฉะเชิงเทรา,6.0,19.0,1.0,16.0,23.0,14.0,0.0,0.0,0.0,0.0,48.0,68.0,21.0,51.0,65.0,53.0,baania
677,20626,KHLONG BANG PHRAN,คลองบางพราน,3879,BANG BON,บางบอน,3781,Bangkok,กรุงเทพมหานคร,90.0,100.0,90.0,100.0,100.0,97.0,2.0,97.0,1.0,40.0,100.0,73.0,100.0,94.0,96.0,94.0,baania
199,2625,WICHIT,วิชิต,2617,MUEANG PHUKET,เมืองภูเก็ต,2616,Phuket,ภูเก็ต,74.0,50.0,32.0,72.0,62.0,65.0,0.0,0.0,0.0,0.0,96.0,93.0,90.0,95.0,95.0,94.0,baania
345,3379,BANG KHEN,บางเขน,3373,MUEANG NONTHABURI,เมืองนนทบุรี,3372,Nonthaburi,นนทบุรี,94.0,98.0,76.0,100.0,99.0,96.0,98.0,100.0,50.0,89.0,100.0,100.0,99.0,100.0,100.0,100.0,baania
315,2623,RATSADA,รัษฎา,2617,MUEANG PHUKET,เมืองภูเก็ต,2616,Phuket,ภูเก็ต,65.0,41.0,19.0,63.0,56.0,56.0,0.0,0.0,0.0,0.0,89.0,87.0,78.0,93.0,91.0,90.0,baania
419,2525,PONG PHA,โป่งผา,2521,MAE SAI,แม่สาย,2411,Chiang Rai,เชียงราย,1.0,7.0,15.0,20.0,10.0,13.0,0.0,0.0,0.0,0.0,26.0,48.0,56.0,76.0,53.0,59.0,baania
289,1177,MUEANG LEN,เมืองเล็น,1175,SAN SAI,สันทราย,1005,Chiang Mai,เชียงใหม่,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,37.0,72.0,60.0,62.0,47.0,baania
407,7233,THA RAP,ท่าราบ,7227,MUEANG PHETCHABURI,เมืองเพชรบุรี,7226,Phetchaburi,เพชรบุรี,34.0,70.0,42.0,83.0,46.0,64.0,0.0,0.0,0.0,0.0,96.0,100.0,98.0,100.0,100.0,99.0,baania
634,20625,BANG BON TAI,บางบอนใต้,3879,BANG BON,บางบอน,3781,Bangkok,กรุงเทพมหานคร,83.0,96.0,83.0,99.0,99.0,94.0,1.0,89.0,1.0,36.0,96.0,67.0,100.0,79.0,96.0,85.0,baania
460,4704,NONG KHAM,หนองขาม,4696,SI RACHA,ศรีราชา,4616,Chon Buri,ชลบุรี,17.0,25.0,15.0,38.0,35.0,30.0,0.0,0.0,0.0,0.0,69.0,87.0,77.0,93.0,94.0,86.0,baania
607,3416,BAN MAI,บ้านใหม่,3411,BANG YAI,บางใหญ่,3372,Nonthaburi,นนทบุรี,34.0,34.0,53.0,100.0,100.0,75.0,1.0,1.0,1.0,1.0,89.0,78.0,72.0,100.0,100.0,93.0,baania
664,3422,KHLONG PHRA UDOM,คลองพระอุดม,3418,PAK KRET,ปากเกร็ด,3372,Nonthaburi,นนทบุรี,57.0,89.0,46.0,89.0,85.0,78.0,1.0,78.0,70.0,45.0,95.0,100.0,96.0,100.0,100.0,99.0,baania
39,4571,KHLONG PRAWET,คลองประเวศ,4566,BAN PHO,บ้านโพธิ์,4510,Chachoengsao,ฉะเชิงเทรา,2.0,30.0,1.0,43.0,15.0,28.0,0.0,0.0,0.0,0.0,64.0,73.0,32.0,73.0,82.0,69.0,baania
575,3778,RAI KHING,ไร่ขิง,3764,SAM PHRAN,สามพราน,3667,Nakhon Pathom,นครปฐม,56.0,16.0,36.0,94.0,100.0,73.0,0.0,93.0,0.0,37.0,97.0,94.0,93.0,100.0,100.0,98.0,baania
488,3634,KHU BANG LUANG,คูบางหลวง,3630,LAT LUM KAEO,ลาดหลุมแก้ว,3599,Pathum Thani,ปทุมธานี,40.0,1.0,14.0,67.0,67.0,50.0,0.0,71.0,0.0,28.0,88.0,97.0,70.0,73.0,48.0,75.0,baania
8,3456,THUNG KHWAI KIN,ทุ่งควายกิน,3448,KLAENG,แกลง,3431,Rayong,ระยอง,6.0,48.0,15.0,49.0,28.0,37.0,0.0,0.0,0.0,0.0,79.0,99.0,86.0,76.0,95.0,83.0,baania
675,1166,TON PAO,ต้นเปา,1164,SAN KAMPHAENG,สันกำแพง,1005,Chiang Mai,เชียงใหม่,8.0,9.0,15.0,4.0,28.0,9.0,0.0,0.0,0.0,0.0,50.0,68.0,82.0,58.0,95.0,63.0,baania
136,3626,BUENG SANAN,บึงสนั่น,3623,THANYABURI,ธัญบุรี,3599,Pathum Thani,ปทุมธานี,92.0,41.0,74.0,96.0,96.0,87.0,0.0,1.0,0.0,0.0,100.0,100.0,95.0,100.0,80.0,97.0,baania
59,3907,KHLONG MAHANAK,คลองมหานาค,3905,POM PRAP SATTRU PHAI,ป้อมปราบศัตรูพ่าย,3781,Bangkok,กรุงเทพมหานคร,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.0,100.0,90.0,100.0,94.0,baania
