row_number,gid,line_no,railway,line_typt,line_type,status,line_th,line_en,station_th,station_en,latitude,longitude,prov_namt,prov_name,amp_namt,amp_name,tam_namt,tam_name
312,228,8,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีส้ม,Orange Line,สนามหลวง,Sanam Luang,13.75777000,100.49652700,กรุงเทพมหานคร,BANGKOK,พระนคร,PHRA NAKHON,ตลาดยอด,TALAT YOT
138,91,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,ศูนย์วัฒนธรรมแห่งประเทศไทย,Thailand Cultural Centre,13.76479100,100.56913000,กรุงเทพมหานคร,BANGKOK,ดินแดง,DIN DAENG,ดินแดง,DIN DAENG
46,26,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,พญาไท,Phaya Thai,13.75695300,100.53382500,กรุงเทพมหานคร,BANGKOK,ราชเทวี,RATCHATHEWI,ทุ่งพญาไท,THUNG PHAYA THAI
256,109,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,ภาษีเจริญ,Phasi Charoen,13.71286600,100.43345400,กรุงเทพมหานคร,BANGKOK,บางแค,BANG KHAE,บางแค,BANG KHAE
318,30,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,เพลินจิต,Phloen Chit,13.74306600,100.54899500,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,ลุมพินี,LUMPHINI
29,216,8,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีส้ม,Orange Line,น้อมเกล้า,Nom Klao,13.78599600,100.68965600,กรุงเทพมหานคร,BANGKOK,สะพานสูง,SAPHAN SUNG,สะพานสูง,SAPHAN SUNG
40,54,1,รถไฟฟ้า,บีทีเอส,BTS,อนาคต,สายสุขุมวิท,Sukhumvit Line,ศรีจันทร์ประดิษฐ์,Si Chan Pradit,13.52439500,100.64213900,สมุทรปราการ,SAMUT PRAKAN,บางพลี,BANG PHLI,บางปลา,BANG PLA
264,202,7,รถไฟฟ้า,เอสอาร์ที,SRT,ปัจจุบัน,สายสีแดงเข้ม,Dark Red Line,บางเขน,Bang Khen,13.84874900,100.56159500,กรุงเทพมหานคร,BANGKOK,จตุจักร,CHATUCHAK,ลาดยาว,LAT YAO
243,212,8,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีส้ม,Orange Line,ลำสาลี,Lam Sali,13.76304500,100.64829500,กรุงเทพมหานคร,BANGKOK,บางกะปิ,BANG KAPI,หัวหมาก,HUA MAK
153,94,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,สุขุมวิท,Sukhumvit,13.73684200,100.56133300,กรุงเทพมหานคร,BANGKOK,คลองเตย,KHLONG TOEI,คลองเตย,KHLONG TOEI
